Date,Section,ID,Spp,recap,recapinsurvey,FL,BM,maturation,tagloss,injury,handlingmortality,notes,PITNumber,PITNumber2
10/2/2020,270,96,masusalmon,NO,NO,103.0 ,13.7,NO,NO,NO,NO,NA,900_226001110262,NA
10/2/2020,270,97,masusalmon,NO,NO,107.0 ,14.4,sperm,NO,NO,NO,NA,900_226001110282,NA
10/2/2020,270,NA,sculpin,NO,NO,72.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,270,NA,sculpin,NO,NO,68.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,270,NA,sculpin,NO,NO,62.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,270,NA,sculpin,NO,NO,57.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,270,NA,sculpin,NO,NO,71.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,270,NA,sculpin,NO,NO,102.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,280,98,masusalmon,NO,NO,105.0 ,12.8,NO,NO,NO,NO,NA,900_226001110288,NA
10/2/2020,280,99,masusalmon,NO,NO,126.0 ,26.1,sperm,NO,NO,NO,NA,900_226001110203,NA
10/2/2020,280,100,masusalmon,NO,NO,150.0 ,42.5,sperm,NO,NO,NO,NA,900_226001110296,NA
10/2/2020,280,NA,sculpin,NO,NO,143.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,280,NA,sculpin,NO,NO,75.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,280,NA,sculpin,NO,NO,104.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,280,NA,sculpin,NO,NO,90.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,280,NA,sculpin,NO,NO,101.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,280,NA,sculpin,NO,NO,118.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,290,NA,sculpin,NO,NO,106.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,290,NA,sculpin,NO,NO,117.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,300,101,masusalmon,NO,NO,107.0 ,13.3,NO,NO,NO,NO,NA,900_226001110223,NA
10/2/2020,300,102,masusalmon,NO,NO,117.0 ,20.5,sperm,NO,NO,NO,NA,900_226001110258,NA
10/2/2020,300,103,masusalmon,NO,NO,87.0 ,7.1,NO,NO,NO,NO,NA,900_226001110201,NA
10/2/2020,300,NA,sculpin,NO,NO,52.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,310,104,masusalmon,NO,NO,113.0 ,16.9,NO,NO,NO,NO,NA,900_226001110212,NA
10/2/2020,310,105,masusalmon,NO,NO,83.0 ,6.9,NO,NO,NO,NO,NA,900_226001110207,NA
10/2/2020,310,106,rainbowtrout,YES,NO,112.0 ,16.5,NO,NO,NO,NO,NA,900_226001111050,NA
10/2/2020,310,NA,sculpin,NO,NO,45.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,320,107,masusalmon,YES,NO,134.0 ,34,sperm,NO,NO,NO,NA,900_226001047944,NA
