date,section,species,fork_length,body_mass,maturation,tagloss,injury,handlingmortality,notes,pit_number,pit_number2,smolting,removed
10/2/2020,540,masusalmon,85,6.7,NO,NO,NO,NO,NA,900_226001108667,NA,NA,NA
10/2/2020,540,masusalmon,138,30.2,sperm,NO,NO,NO,NA,900_226001108630,NA,NA,NA
10/2/2020,540,masusalmon,127,26.6,sperm,NO,NO,NO,NA,900_226001108617,NA,NA,NA
10/2/2020,540,masusalmon,157,50,sperm,NO,NO,NO,NA,900_226001108607,NA,NA,NA
10/2/2020,540,masusalmon,111,14.3,NO,NO,NO,NO,NA,900_226001047356,NA,NA,NA
10/2/2020,540,masusalmon,114,16.6,NO,NO,NO,NO,NA,900_226001047373,NA,NA,NA
10/2/2020,540,masusalmon,158,53.3,sperm,NO,NO,NO,NA,900_226001110036,NA,NA,NA
10/2/2020,550,masusalmon,128,25.5,NO,NO,NO,NO,NA,900_226001108605,NA,NA,NA
10/2/2020,560,masusalmon,77,4.6,NO,NO,NO,NO,NA,900_226001108697,NA,NA,NA
10/2/2020,560,masusalmon,74,4.5,NO,NO,NO,NO,NA,900_226001108699,NA,NA,NA
10/2/2020,560,masusalmon,117,19.5,sperm,NO,NO,NO,NA,900_226001111066,NA,NA,NA
10/2/2020,580,masusalmon,95,8.5,NO,NO,NO,NO,NA,900_226001108608,NA,NA,NA
10/2/2020,580,masusalmon,84,6,NO,NO,NO,NO,NA,900_226001108680,NA,NA,NA
10/2/2020,580,masusalmon,129,23.8,NO,NO,NO,NO,NA,900_226001111031,NA,NA,NA
10/2/2020,580,masusalmon,133,25.1,sperm,NO,NO,NO,NA,900_226001108634,NA,NA,NA
10/2/2020,580,whitespottedchar,181,59.5,NO,NO,NO,NO,NA,900_226001108627,NA,NA,NA
10/2/2020,580,rainbowtrout,128,23.2,NO,NO,NO,NO,NA,900_226001111090,NA,NA,NA
10/2/2020,580,rainbowtrout,143,36.2,NO,NO,NO,NO,NA,900_226001047626,NA,NA,NA
10/2/2020,580,rainbowtrout,225,133.3,NO,NO,NO,NO,NA,900_226001047347,NA,NA,NA
10/2/2020,590,masusalmon,69,3.6,NO,NO,NO,NO,NA,900_226001108648,NA,NA,NA
10/2/2020,600,masusalmon,82,6,NO,NO,NO,NO,NA,900_226001108657,NA,NA,NA
10/2/2020,600,masusalmon,86,6.1,NO,NO,NO,NO,NA,900_226001108688,NA,NA,NA
10/2/2020,600,masusalmon,116,16.3,NO,NO,NO,NO,NA,900_226001108665,NA,NA,NA
10/2/2020,600,masusalmon,141,34.7,sperm,NO,NO,NO,NA,900_226001108647,NA,NA,NA
10/2/2020,600,masusalmon,112,15.7,NO,NO,NO,NO,NA,900_226001108629,NA,NA,NA
10/2/2020,600,rainbowtrout,155,41.9,NO,NO,NO,NO,NA,900_226001111030,NA,NA,NA
10/2/2020,610,masusalmon,88,7.6,NO,NO,NO,NO,NA,900_226001108677,NA,NA,NA
10/2/2020,610,masusalmon,73,4.2,NO,NO,NO,NO,NA,900_226001108656,NA,NA,NA
10/2/2020,610,masusalmon,130,26,sperm,NO,NO,NO,NA,900_226001108681,NA,NA,NA
10/2/2020,610,masusalmon,100,11.5,NO,NO,NO,NO,NA,900_226001108676,NA,NA,NA
10/2/2020,610,masusalmon,74,4.4,NO,NO,NO,NO,NA,900_226001108693,NA,NA,NA
10/2/2020,610,masusalmon,113,18.6,sperm,NO,NO,NO,NA,900_226001047349,NA,NA,NA
10/2/2020,630,masusalmon,92,8.9,NO,NO,NO,NO,NA,900_226001108626,NA,NA,NA
10/2/2020,640,masusalmon,85,6.6,NO,NO,NO,NO,NA,900_226001108600,NA,NA,NA
10/2/2020,640,masusalmon,95,8.9,NO,NO,NO,NO,NA,900_226001108603,NA,NA,NA
10/2/2020,640,masusalmon,121,27.2,sperm,NO,NO,NO,NA,900_226001108651,NA,NA,NA
10/2/2020,640,masusalmon,88,7.7,NO,NO,NO,NO,NA,900_226001108692,NA,NA,NA
10/2/2020,640,masusalmon,142,35.7,sperm,NO,NO,NO,NA,900_226001047671,NA,NA,NA
10/2/2020,640,rainbowtrout,258,216,NO,NO,NO,NO,NA,900_226000330515,NA,NA,NA
10/2/2020,650,masusalmon,98,10.4,NO,NO,NO,NO,NA,900_226001108639,NA,NA,NA
10/2/2020,650,masusalmon,63,2.5,NO,NO,NO,NO,NA,900_226001108660,NA,NA,NA
10/2/2020,660,masusalmon,70,4.1,NO,NO,NO,NO,NA,900_226001108631,NA,NA,NA
10/2/2020,660,masusalmon,84,6.7,NO,NO,NO,NO,NA,900_226001108679,NA,NA,NA
10/2/2020,660,masusalmon,72,4.2,NO,NO,NO,NO,NA,900_226001108698,NA,NA,NA
10/2/2020,660,masusalmon,66,3.3,NO,NO,NO,NO,NA,900_226001108640,NA,NA,NA
10/2/2020,660,masusalmon,115,15.6,NO,NO,NO,NO,NA,900_226001108652,NA,NA,NA
10/2/2020,660,masusalmon,118,18.4,sperm,NO,NO,NO,NA,900_226001108694,NA,NA,NA
10/2/2020,660,rainbowtrout,126,22.5,NO,NO,NO,NO,NA,900_226001111051,NA,NA,NA
10/2/2020,670,masusalmon,79,5.4,NO,NO,NO,NO,NA,900_226001108674,NA,NA,NA
10/2/2020,670,masusalmon,93,8.9,NO,NO,NO,NO,NA,900_226001108602,NA,NA,NA
10/2/2020,670,masusalmon,65,3.2,NO,NO,NO,NO,NA,900_226001108669,NA,NA,NA
10/2/2020,670,masusalmon,129,26.7,sperm,NO,NO,NO,NA,900_226001108737,NA,NA,NA
10/2/2020,670,masusalmon,142,32.4,sperm,NO,NO,NO,NA,900_226001108707,NA,NA,NA
10/2/2020,670,masusalmon,127,27.6,sperm,NO,NO,NO,NA,900_226001108763,NA,NA,NA
10/2/2020,680,masusalmon,82,5.8,NO,NO,NO,NO,NA,900_226001108700,NA,NA,NA
10/2/2020,680,masusalmon,78,5.3,NO,NO,NO,NO,NA,900_226001108788,NA,NA,NA
10/2/2020,680,masusalmon,96,9.9,NO,NO,NO,NO,NA,900_226001108747,NA,NA,NA
10/2/2020,680,masusalmon,106,13.1,NO,NO,NO,NO,NA,900_226001108726,NA,NA,NA
10/2/2020,690,masusalmon,120,20.1,NO,NO,NO,NO,NA,900_226001110095,NA,NA,NA
10/2/2020,700,masusalmon,125,20.9,sperm,NO,NO,NO,NA,900_226001108703,NA,NA,NA
