Date,Section,ID,Spp,recap,recapinsurvey,FL,BM,maturation,tagloss,injury,handlingmortality,notes,PITNumber,PITNumber2,life_stage,occasion,smolting,removed
10/2/2020,230,74,masusalmon,YES,NO,120,23,sperm,NO,NO,NO,NA,900_226001047938,NA,NA,1,NA,NA
10/2/2020,230,75,rainbowtrout,YES,NO,141,31.5,NO,YES,NO,NO,NA,900_226001110254,NA,NA,1,NA,NA
10/2/2020,230,76,masusalmon,NO,NO,87,7.5,NO,NO,NO,NO,NA,900_226001110219,NA,NA,1,NA,NA
10/2/2020,230,77,masusalmon,NO,NO,75,4.7,NO,NO,NO,NO,NA,900_226001110266,NA,NA,1,NA,NA
10/2/2020,230,78,masusalmon,NO,NO,72,3.9,NO,NO,NO,NO,NA,900_226001110253,NA,NA,1,NA,NA
10/2/2020,230,NA,sculpin,NO,NO,63,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,230,NA,sculpin,NO,NO,108,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,230,NA,sculpin,NO,NO,69,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,230,NA,sculpin,NO,NO,105,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,230,NA,sculpin,NO,NO,88,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,240,NA,sculpin,NO,NO,75,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,240,NA,sculpin,NO,NO,90,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,240,NA,sculpin,NO,NO,85,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,240,NA,sculpin,NO,NO,66,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,250,79,masusalmon,YES,NO,159,50.3,sperm,NO,NO,NO,NA,900_226001047950,NA,NA,1,NA,NA
10/2/2020,250,80,rainbowtrout,YES,NO,122,20.5,NO,NO,NO,NO,NA,900_226001047948,NA,NA,1,NA,NA
10/2/2020,250,81,masusalmon,NO,NO,90,8.4,NO,NO,NO,NO,NA,900_226001110250,NA,NA,1,NA,NA
10/2/2020,250,82,masusalmon,NO,NO,101,11.3,NO,NO,NO,NO,NA,900_226001110284,NA,NA,1,NA,NA
10/2/2020,250,83,masusalmon,NO,NO,94,8.4,NO,NO,NO,NO,NA,900_226001110273,NA,NA,1,NA,NA
10/2/2020,250,84,masusalmon,NO,NO,89,7.5,NO,NO,NO,NO,NA,900_226001110234,NA,NA,1,NA,NA
10/2/2020,250,NA,sculpin,NO,NO,77,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,250,NA,sculpin,NO,NO,66,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,260,85,masusalmon,YES,NO,178,63.6,sperm,NO,NO,NO,NA,900_226000493109,NA,NA,1,NA,NA
10/2/2020,260,86,masusalmon,YES,NO,140,34.4,sperm,NO,NO,NO,NA,900_226001111027,NA,NA,1,NA,NA
10/2/2020,260,87,masusalmon,NO,NO,91,8.3,NO,NO,NO,NO,NA,900_226001110287,NA,NA,1,NA,NA
10/2/2020,260,88,masusalmon,NO,NO,77,5.2,NO,NO,NO,NO,NA,900_226001110276,NA,NA,1,NA,NA
10/2/2020,260,89,masusalmon,NO,NO,82,6.2,NO,NO,NO,NO,NA,900_226001110297,NA,NA,1,NA,NA
10/2/2020,260,90,masusalmon,NO,NO,99,11.2,NO,NO,NO,NO,NA,900_226001110264,NA,NA,1,NA,NA
10/2/2020,260,NA,sculpin,NO,NO,91,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,270,91,masusalmon,YES,NO,125,24.3,sperm,NO,NO,NO,NA,900_226001111071,NA,NA,1,NA,NA
10/2/2020,270,92,rainbowtrout,YES,NO,110,16.4,NO,NO,NO,NO,NA,900_226001047909,NA,NA,1,NA,NA
10/2/2020,270,93,masusalmon,NO,NO,109,14.1,NO,NO,NO,NO,NA,900_226001110236,NA,NA,1,NA,NA
10/2/2020,270,94,masusalmon,NO,NO,105,13.7,NO,NO,NO,NO,NA,900_226001110293,NA,NA,1,NA,NA
10/2/2020,270,95,masusalmon,NO,NO,95,9.9,NO,NO,NO,NO,NA,900_226001110290,NA,NA,1,NA,NA
10/2/2020,270,96,masusalmon,NO,NO,103,13.7,NO,NO,NO,NO,NA,900_226001110262,NA,NA,1,NA,NA
10/2/2020,270,97,masusalmon,NO,NO,107,14.4,sperm,NO,NO,NO,NA,900_226001110282,NA,NA,1,NA,NA
10/2/2020,270,NA,sculpin,NO,NO,72,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,270,NA,sculpin,NO,NO,68,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,270,NA,sculpin,NO,NO,62,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
